UnionSize,Weighted,TestNum,Time
15000,1,32,0.059872
15000,1,33,0.061006
15000,1,34,0.063609
15000,1,35,0.055884
15000,1,36,0.062907
15000,1,37,0.049514
15000,1,38,0.056601
15000,1,39,0.072843
15000,1,40,0.065495
15000,1,41,0.060148
15000,1,42,0.060835
15000,1,43,0.056947
15000,1,44,0.059191
15000,1,45,0.061445
15000,1,46,0.063235
15000,1,47,0.060673
15000,1,48,0.059921
15000,1,49,0.064529
15000,1,50,0.060844
15000,0,1,0.060209
15000,0,2,0.060011
15000,0,3,0.062408
15000,0,4,0.052550
15000,0,5,0.063528
15000,0,6,0.055621
15000,0,7,0.055274
15000,0,8,0.053215
15000,0,9,0.058172
15000,0,10,0.049572
15000,0,11,0.061810
15000,0,12,0.060006
15000,0,13,0.057947
15000,0,14,0.053392
15000,0,15,0.055906
15000,0,16,0.056449
15000,0,17,0.050105
15000,0,18,0.055280
15000,0,19,0.055611
15000,0,20,0.052402
15000,0,21,0.048646
15000,0,22,0.051345
15000,0,23,0.058272
15000,0,24,0.051868
15000,0,25,0.053930
15000,0,26,0.048820
15000,0,27,0.061099
15000,0,28,0.057438
15000,0,29,0.058537
15000,0,30,0.055223
15000,0,31,0.054150
15000,0,32,0.057692
15000,0,33,0.055392
15000,0,34,0.055204
15000,0,35,0.051281
15000,0,36,0.056364
15000,0,37,0.050358
15000,0,38,0.063243
15000,0,39,0.059917
15000,0,40,0.053849
15000,0,41,0.063361
15000,0,42,0.051321
15000,0,43,0.061065
15000,0,44,0.064092
15000,0,45,0.048650
15000,0,46,0.060166
15000,0,47,0.060705
15000,0,48,0.056008
15000,0,49,0.053491
15000,0,50,0.058658
20000,1,1,0.081432
20000,1,2,0.059093
20000,1,3,0.070069
20000,1,4,0.076835
20000,1,5,0.059299
20000,1,6,0.068519
20000,1,7,0.059273
20000,1,8,0.072550
20000,1,9,0.059257
20000,1,10,0.059936
20000,1,11,0.057724
20000,1,12,0.058285
20000,1,13,0.065557
20000,1,14,0.080975
20000,1,15,0.074113
20000,1,16,0.075897
20000,1,17,0.073912
20000,1,18,0.072206
20000,1,19,0.074554
20000,1,20,0.073254
20000,1,21,0.075817
20000,1,22,0.076308
20000,1,23,0.092173
20000,1,24,0.076027
20000,1,25,0.065536
20000,1,26,0.075774
20000,1,27,0.077155
20000,1,28,0.076803
20000,1,29,0.086197
20000,1,30,0.083553
20000,1,31,0.073505
20000,1,32,0.081073
20000,1,33,0.074856
20000,1,34,0.074829
20000,1,35,0.083407
20000,1,36,0.087641
20000,1,37,0.085028
20000,1,38,0.071079
20000,1,39,0.068743
20000,1,40,0.071851
20000,1,41,0.071846
20000,1,42,0.075213
20000,1,43,0.069792
20000,1,44,0.076314
20000,1,45,0.065771
20000,1,46,0.065023
20000,1,47,0.093401
20000,1,48,0.083555
20000,1,49,0.073646
20000,1,50,0.073449
20000,0,1,0.073867
20000,0,2,0.069259
20000,0,3,0.072738
20000,0,4,0.075763
20000,0,5,0.079902
20000,0,6,0.076796
20000,0,7,0.073589
20000,0,8,0.082976
20000,0,9,0.068239
20000,0,10,0.073957
20000,0,11,0.069816
20000,0,12,0.081746
20000,0,13,0.074016
20000,0,14,0.072446
