UnionSize,Weighted,TestNum,Time
15000,1,32,0.000583
15000,1,33,0.000590
15000,1,34,0.000615
15000,1,35,0.000606
15000,1,36,0.000599
15000,1,37,0.000583
15000,1,38,0.000579
15000,1,39,0.000575
15000,1,40,0.000581
15000,1,41,0.000580
15000,1,42,0.000586
15000,1,43,0.000598
15000,1,44,0.000594
15000,1,45,0.000596
15000,1,46,0.000583
15000,1,47,0.000578
15000,1,48,0.000576
15000,1,49,0.000580
15000,1,50,0.000572
15000,0,1,0.000500
15000,0,2,0.000504
15000,0,3,0.000634
15000,0,4,0.000541
15000,0,5,0.000537
15000,0,6,0.000583
15000,0,7,0.000529
15000,0,8,0.000511
15000,0,9,0.000756
15000,0,10,0.000509
15000,0,11,0.000548
15000,0,12,0.000513
15000,0,13,0.000504
15000,0,14,0.000517
15000,0,15,0.000517
15000,0,16,0.000514
15000,0,17,0.000535
15000,0,18,0.000526
15000,0,19,0.000528
15000,0,20,0.000523
15000,0,21,0.000525
15000,0,22,0.000516
15000,0,23,0.000515
15000,0,24,0.000520
15000,0,25,0.000500
15000,0,26,0.000534
15000,0,27,0.000517
15000,0,28,0.000633
15000,0,29,0.000510
15000,0,30,0.000545
15000,0,31,0.000583
15000,0,32,0.000523
15000,0,33,0.000521
15000,0,34,0.000541
15000,0,35,0.000520
15000,0,36,0.000535
15000,0,37,0.000513
15000,0,38,0.000530
15000,0,39,0.000538
15000,0,40,0.000525
15000,0,41,0.000594
15000,0,42,0.000572
15000,0,43,0.000555
15000,0,44,0.000602
15000,0,45,0.000576
15000,0,46,0.000586
15000,0,47,0.000499
15000,0,48,0.000507
15000,0,49,0.000507
15000,0,50,0.000518
20000,1,1,0.000814
20000,1,2,0.000772
20000,1,3,0.000790
20000,1,4,0.000771
20000,1,5,0.000767
20000,1,6,0.000849
20000,1,7,0.000797
20000,1,8,0.000862
20000,1,9,0.000775
20000,1,10,0.000810
20000,1,11,0.000816
20000,1,12,0.000919
20000,1,13,0.000766
20000,1,14,0.000806
20000,1,15,0.000834
20000,1,16,0.001208
20000,1,17,0.001179
20000,1,18,0.001154
20000,1,19,0.001167
20000,1,20,0.001168
20000,1,21,0.001180
20000,1,22,0.001181
20000,1,23,0.001176
20000,1,24,0.001267
20000,1,25,0.001167
20000,1,26,0.001179
20000,1,27,0.001183
20000,1,28,0.001138
20000,1,29,0.000786
20000,1,30,0.000832
20000,1,31,0.000845
20000,1,32,0.000780
20000,1,33,0.000817
20000,1,34,0.000810
20000,1,35,0.000841
20000,1,36,0.000836
20000,1,37,0.000819
20000,1,38,0.000831
20000,1,39,0.000837
20000,1,40,0.000812
20000,1,41,0.000764
20000,1,42,0.000835
20000,1,43,0.000804
20000,1,44,0.000790
20000,1,45,0.000785
20000,1,46,0.000855
20000,1,47,0.000800
20000,1,48,0.000828
20000,1,49,0.000973
20000,1,50,0.000778
20000,0,1,0.000682
20000,0,2,0.000705
20000,0,3,0.000859
20000,0,4,0.000679
20000,0,5,0.000705
20000,0,6,0.000711
20000,0,7,0.000688
20000,0,8,0.000684
20000,0,9,0.001043
20000,0,10,0.001042
20000,0,11,0.001061
20000,0,12,0.001033
20000,0,13,0.000643
20000,0,14,0.000658
20000,0,15,0.000680
20000,0,16,0.000654
20000,0,17,0.000656
20000,0,18,0.000897
20000,0,19,0.000649
20000,0,20,0.000663
20000,0,21,0.000661
20000,0,22,0.000700
20000,0,23,0.000662
20000,0,24,0.000684
20000,0,25,0.000681
20000,0,26,0.000660
20000,0,27,0.000685
20000,0,28,0.000786
20000,0,29,0.000710
20000,0,30,0.000759
20000,0,31,0.000727
20000,0,32,0.000690
20000,0,33,0.000687
20000,0,34,0.000719
20000,0,35,0.000706
20000,0,36,0.000717
20000,0,37,0.000715
20000,0,38,0.000703
20000,0,39,0.000701
20000,0,40,0.000690
20000,0,41,0.000685
20000,0,42,0.000721
20000,0,43,0.000673
20000,0,44,0.000672
20000,0,45,0.000685
20000,0,46,0.000668
20000,0,47,0.000697
20000,0,48,0.000670
20000,0,49,0.000678
20000,0,50,0.000780
25000,1,1,0.001560
25000,1,2,0.001509
25000,1,3,0.001459
25000,1,4,0.001964
25000,1,5,0.001520
25000,1,6,0.001505
25000,1,7,0.001481
25000,1,8,0.001558
25000,1,9,0.001499
25000,1,10,0.001067
25000,1,11,0.000961
25000,1,12,0.001482
25000,1,13,0.001433
25000,1,14,0.001518
25000,1,15,0.001458
25000,1,16,0.001429
25000,1,17,0.001439
25000,1,18,0.001472
25000,1,19,0.001441
25000,1,20,0.001617
25000,1,21,0.000971
25000,1,22,0.001075
25000,1,23,0.000993
25000,1,24,0.001428
25000,1,25,0.001412
25000,1,26,0.001408
25000,1,27,0.001025
25000,1,28,0.001436
25000,1,29,0.001438
25000,1,30,0.001419
25000,1,31,0.001426
25000,1,32,0.001500
25000,1,33,0.001449
25000,1,34,0.001438
25000,1,35,0.001486
25000,1,36,0.001405
25000,1,37,0.001396
25000,1,38,0.001382
25000,1,39,0.001317
25000,1,40,0.001336
25000,1,41,0.001285
25000,1,42,0.001256
25000,1,43,0.001269
25000,1,44,0.001261
25000,1,45,0.001229
25000,1,46,0.001206
25000,1,47,0.001172
25000,1,48,0.001164
25000,1,49,0.001384
25000,1,50,0.001503
25000,0,1,0.001472
25000,0,2,0.001519
25000,0,3,0.001393
25000,0,4,0.000994
25000,0,5,0.000957
25000,0,6,0.001065
25000,0,7,0.001239
25000,0,8,0.001168
25000,0,9,0.001308
25000,0,10,0.001443
25000,0,11,0.001237
25000,0,12,0.001302
25000,0,13,0.001301
25000,0,14,0.001260
25000,0,15,0.001305
25000,0,16,0.001247
25000,0,17,0.001179
25000,0,18,0.001282
25000,0,19,0.001273
25000,0,20,0.001269
25000,0,21,0.001259
25000,0,22,0.001380
25000,0,23,0.001387
25000,0,24,0.001387
25000,0,25,0.001429
25000,0,26,0.001361
25000,0,27,0.001432
25000,0,28,0.000833
25000,0,29,0.000844
25000,0,30,0.000821
25000,0,31,0.000832
25000,0,32,0.000843
25000,0,33,0.000824
25000,0,34,0.000841
25000,0,35,0.000853
25000,0,36,0.000930
25000,0,37,0.000923
25000,0,38,0.000836
25000,0,39,0.000837
25000,0,40,0.000845
25000,0,41,0.000807
25000,0,42,0.000832
25000,0,43,0.000865
25000,0,44,0.000859
25000,0,45,0.000828
25000,0,46,0.000835
25000,0,47,0.001060
25000,0,48,0.001230
25000,0,49,0.001352
25000,0,50,0.001356
30000,1,1,0.001246
30000,1,2,0.001923
30000,1,3,0.001346
30000,1,4,0.001285
30000,1,5,0.001241
30000,1,6,0.001143
30000,1,7,0.001122
30000,1,8,0.001135
30000,1,9,0.001147
30000,1,10,0.001367
30000,1,11,0.001339
30000,1,12,0.001167
30000,1,13,0.001735
30000,1,14,0.001769
30000,1,15,0.001161
30000,1,16,0.001662
30000,1,17,0.001343
30000,1,18,0.001213
30000,1,19,0.001780
30000,1,20,0.001753
30000,1,21,0.001818
30000,1,22,0.001785
30000,1,23,0.001781
30000,1,24,0.001882
30000,1,25,0.001707
30000,1,26,0.001754
30000,1,27,0.001726
30000,1,28,0.001209
30000,1,29,0.001916
30000,1,30,0.001821
30000,1,31,0.001576
30000,1,32,0.001249
30000,1,33,0.001205
30000,1,34,0.001254
30000,1,35,0.001974
30000,1,36,0.001801
30000,1,37,0.001740
30000,1,38,0.001713
30000,1,39,0.001188
30000,1,40,0.001242
30000,1,41,0.001288
30000,1,42,0.001158
30000,1,43,0.001165
30000,1,44,0.001145
30000,1,45,0.001698
30000,1,46,0.002188
30000,1,47,0.001811
30000,1,48,0.001837
30000,1,49,0.001799
30000,1,50,0.001623
30000,0,1,0.001328
30000,0,2,0.000997
30000,0,3,0.001697
30000,0,4,0.001770
30000,0,5,0.001455
30000,0,6,0.001478
30000,0,7,0.001470
30000,0,8,0.001898
30000,0,9,0.002005
30000,0,10,0.001072
30000,0,11,0.000962
30000,0,12,0.001000
30000,0,13,0.001010
30000,0,14,0.000964
30000,0,15,0.001491
